train_data_end,train_data_start,horizon,sku,year_month,final_perdiction,Channel,forecast_month,NetWeight,H1,H2,H3,H4,H5,CrossPlantStatus,LeadTime,ServiceLevel,MrpPurchaser,PdProductDescription,ServiceLevel_value,Standard_Dev,Variability,last_year_demand
2024-05-01,2021-02-01,6,1938,2024-11,2.8517973935646164,Export_Re-Export,2024-11,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
2024-05-01,2019-02-01,1,1939,2024-06,4.021529306846439e-87,Export_Re-Export,2024-06,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,1.0
2024-05-01,2019-02-01,2,1939,2024-07,4.021529306846439e-87,Export_Re-Export,2024-07,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,
2024-05-01,2019-02-01,3,1939,2024-08,4.021529306846439e-87,Export_Re-Export,2024-08,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,
2024-05-01,2019-02-01,4,1939,2024-09,4.021529306846439e-87,Export_Re-Export,2024-09,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,
2024-05-01,2019-02-01,5,1939,2024-10,3.1587301655876523e-176,Export_Re-Export,2024-10,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,
2024-05-01,2019-02-01,6,1939,2024-11,3.1587301655876523e-176,Export_Re-Export,2024-11,4.998,Dairy,Cream Compound,Others,Others,,AC,96,0.95,ENLIM,CREAMER COFFEE/CAFEMAID 10ML,1.65,224.8843184098586,0.8146801855160795,
2024-05-01,2019-01-01,1,10091,2024-06,8386.63163619284,Export_Re-Export,2024-06,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,6617.0
2024-05-01,2019-01-01,2,10091,2024-07,8073.48621246961,Export_Re-Export,2024-07,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,12525.0
2024-05-01,2019-01-01,3,10091,2024-08,8073.486212526491,Export_Re-Export,2024-08,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,6592.0
2024-05-01,2019-01-01,4,10091,2024-09,7907.612343770579,Export_Re-Export,2024-09,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,5822.0
2024-05-01,2019-01-01,5,10091,2024-10,8073.486212894216,Export_Re-Export,2024-10,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,7714.0
2024-05-01,2019-01-01,6,10091,2024-11,8073.486212894216,Export_Re-Export,2024-11,1.000,Dairy,Cream Compound,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM/MILLAC GOLD 1L,1.65,4630.275559474475,0.09322910200699389,10178.0
2024-05-01,2019-01-01,1,10869,2024-06,0.9003359201955506,Export_Re-Export,2024-06,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
2024-05-01,2019-01-01,2,10869,2024-07,0.9003359201955506,Export_Re-Export,2024-07,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
2024-05-01,2019-01-01,3,10869,2024-08,0.9003359201955504,Export_Re-Export,2024-08,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
2024-05-01,2019-01-01,4,10869,2024-09,0.9003359201955505,Export_Re-Export,2024-09,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
2024-05-01,2019-01-01,5,10869,2024-10,0.2267542263310841,Export_Re-Export,2024-10,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
2024-05-01,2019-01-01,6,10869,2024-11,0.1568703759776495,Export_Re-Export,2024-11,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L,1.65,6229.967263958937,0.4204358021497635,
